Token 0,Token 1,Fee,tickSpacing,Pool,Tx Hash,BlockNumber
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x3d0A833B245995D62810B0ce54c39f4D72aD6aE2,500,10,0xC354b38088aE31BaEEa74166751231D9A1f990b9,0x6103d7c1496ffd9c47f497355add60cf588267f50113f95a9a09efcff48d3ad1,33947130
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xF208Ad8Af4d3812cA51804d23101d9be5cd44e5d,10000,200,0x311577e6311CD6633020C9022B792BfD48D52C46,0x7059efe9d63f84e5e5b71ce2ffd75902535e7ce0ac657c080eb47d8bf7f1c279,33947136
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xC4dCb3714a24A4F4B4A6AE5c8c72a0651F250b1A,3000,60,0xEC93e652e817F5933E339F7dEA2506F70Cb55e29,0x7cae649eaa132284ed0b036109b12b11c7db9f961c43d463b46bad56a82f941a,33950675
0x236eeC6359fb44CCe8f97E99387aa7F8cd5cdE1f,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,3000,60,0xe59175B5712FB80AdF58cE639C60A18911e99DFb,0x369d47353cb8d681b6f46a7f319cfa386630e6e7248f42576d5ded42b5c1b5e6,33952642
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xAC8928A5010b5efdb410093023B37C98aB71fC0B,100,1,0x9c352919cF3961D63432238D8E3A369C07c0ADEb,0xc44e7eedfbde8da4a069f0c4ef9e00baf61aff0e9a99b11f13b288f8fed41deb,33954200
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x499B8879096bC35f10dBc1ebfA840b745039EB78,3000,60,0xD9c227217d9B32FDaaA945b488927BE1b7973f4a,0xea1df087f762fde4d7edf03f98ee069386403513b6fa80154a87b77cf9d8ab14,33954668
0x72aD2c1BC48189E22ddd0707913c5Ce3d747cf93,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,100,1,0x9e677CD3f13dA7a66b0758EDbaFfBE0C9ebBC9F3,0x9660c9d9297c129353e01f3a04209a3beb13c2f7dc2b1329ba82cf4e003e931f,33962400
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,10000,200,0xDdACc7A68FA3Ea0E31e746f5A9Afebf16522CC35,0xd7fe3ad7bb45255911de973cc8a0dce8f05b1e371fec00e25d2882e56d7c28e2,33967404
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,3000,60,0x2A8cc29D63bAFE00E7ca3741F832a64A80824EAa,0xf399657c99403ee5a24a683d688ea26c2cf9acb311fd9cdf27377fb83201fcf8,33967512
0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,3000,60,0x4109578332aaf433895b0EcD6916Ad71751fCA9F,0x3f9b4743d02c6cc96c29e672eab1b55d91836683cb266484572e61fdd5f53d4e,33967618
0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,10000,200,0x768A95bB60Eeafe5dad17855e1D24F2AA4819963,0xf871810b5daa45a133753178f5d1ee67809df6abccff6d251e5da6522dd1d7e9,33967634
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0x958d208Cdf087843e9AD98d23823d32E17d723A1,10000,200,0xBd9908FA460e5d6E76Fcbc8681711f7e83c3Eb73,0xab567bef7c83f4020ef4a9785a968a15aad0623d4128cd43af23c399373c2e33,33967883
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0x958d208Cdf087843e9AD98d23823d32E17d723A1,3000,60,0x2E5B7C242792C994160056Eb2b1e2c32d11F1418,0x7c4c7e946e120c3f1eaf7edd33a26dc3418b9295e37ae7842cff183c5d0c1c25,33968393
0x236eeC6359fb44CCe8f97E99387aa7F8cd5cdE1f,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,500,10,0xE0f0a592C0FCEa0798E29DE071a3922377321358,0x4716512388e0064388f061bd032f00fa092d723361adeca554ad8343009ccdc7,33968772
0x958d208Cdf087843e9AD98d23823d32E17d723A1,0xB5C064F955D8e7F38fE0460C556a72987494eE17,3000,60,0xaf6908676a5b134EFecA83013E515C3d5355aEe3,0xffab7a60771c5ecf623aaa1e7ffe845a2e854904b93c2645775f6483a83a677a,33969002
0x958d208Cdf087843e9AD98d23823d32E17d723A1,0xB5C064F955D8e7F38fE0460C556a72987494eE17,10000,200,0x21C6936ECec1b40399DC521c6713276A0aFA1679,0xa50cccf05001dc0c2e3fe6a394e757cb5c897cdcc5ce6d9debd98af8df3d021e,33969048
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x71A7A85805f66C52faf9c1F9C4DbBE4b89e36a08,500,10,0x4aD7a5f7765a8625c83D1b25E6e72c9EEDd458E6,0x4612b3a1c3366b0e0327f944218f156628e54c070b7554ff14be6d9050cde0ba,33972098
0x71A7A85805f66C52faf9c1F9C4DbBE4b89e36a08,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,3000,60,0xc16A0C39d906FaCCa26E70430DAD0b76e496B355,0x62ff28f9a2f0839b9837d61f900d838fa1e171018ae64237f0b19306506f284f,33972251
0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0x255707B70BF90aa112006E1b07B9AeA6De021424,10000,200,0x37B7C93a85c472b17c93621945183B74e08b462C,0x015d469416dfd77ca43cda7368db110c270f62107fbe981d46e3b200f5b0c5dc,33973225
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xb275ed2c45650884f1B53E6d2230ecA369bb0985,500,10,0xC78F5Bc7F0A97FF7e6C5eC9b1D92B515c94628Cd,0x82a78f930792ec6f9af4512d84868c7cd2d27e3ad88a0cb7241ca716a7348e6c,33973498
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xF7b9c6C5dAB9C56101A6AECc92F04E18BE580606,10000,200,0xf92A7877F832227e7451eb75CBC82c103D27EDD0,0xc9608f8648017daa28b6b7a3d29e3fc66c7b93bc088c623c0684f766712a3508,33975739
0x3eAE5bD24B2038fb40688E5f0b4682A773db3733,0xF7b9c6C5dAB9C56101A6AECc92F04E18BE580606,10000,200,0x78c36dD36291f6F5306b0605F9cAEA8009c3F151,0x8d48a36f0f20cb2011ddf3e4b9e17053f2af98832d671a306743231b500e1ab9,33975950
0xc9Cc612C3d118F40D2F876BBd49F270B18f82Da1,0xF7b9c6C5dAB9C56101A6AECc92F04E18BE580606,10000,200,0x3203Dbcbdd6FAF7b4637D2476381c96638Da9477,0x5a43e6901d02af8bf1316d078576b225aa53251a72f21b2c5afe854044336cb6,33976039
0x5Dd05762b831A977B974Db8759772D41F3D5Ff0b,0x9c2C5fd7b07E95EE044DDeba0E97a665F142394f,3000,60,0x08CF1A50F9363442AD1BAD8940B78B92e122c41b,0xebde689f97278985f21a34df53b9820b2456afdc48bcbe2b90fed50247b0d453,33976173
0x172370d5Cd63279eFa6d502DAB29171933a610AF,0x5Dd05762b831A977B974Db8759772D41F3D5Ff0b,3000,60,0x0e0e9F319a702fD65B40A77409A5f4450A8E39C0,0xb952871af0715a18c3fd65d36fcdc10859fb54c0f3937f6279ce899cdf235684,33976512
